,actor,date,movie,press_rating,producer,spectators_rating
0,"
                Avec
                                                                                                                                        Leonardo DiCaprio,
                                                                                                                        Marion Cotillard,
                                                                                                                        Ellen Page
",21 juillet 2010,Inception,"
                4,1",Christopher Nolan,"
                4,4"
1,"
                Avec
                                                                                                                                        Rainn Wilson,
                                                                                                                        Ellen Page,
                                                                                                                        Liv Tyler
",1 décembre 2011,Super,"
                0",James Gunn (II),"
                3,5"
2,"
                Avec
                                                                                                                                        Jean-Paul Rouve,
                                                                                                                        Isabelle Nanty,
                                                                                                                        Claire Nadeau
",1 juillet 2011,Les Tuche,"
                2,3",Olivier Baroux,"
                2,6"
3,"
                Avec
                                                                                                                                        Bruce Willis,
                                                                                                                        Morgan Freeman,
                                                                                                                        Helen Mirren
",17 novembre 2010,Red,"
                2,8",Robert Schwentke,"
                3,5"
4,"
                Avec
                                                                                                                                        Rémy Girard,
                                                                                                                        Lubna Azabal,
                                                                                                                        Mélissa Désormeaux-Poulin
",12 janvier 2011,Incendies,"
                3,8",Denis Villeneuve,"
                4,4"
5,"
                Avec
                                                                                                                                        Sarah Jessica Parker,
                                                                                                                        Kim Cattrall,
                                                                                                                        Kristin Davis
",2 juin 2010,Sex and the City 2,"
                2,5",Michael Patrick King,"
                2,4"
6,"
                Avec
                                                                                                                                        Leonardo DiCaprio,
                                                                                                                        Mark Ruffalo,
                                                                                                                        Ben Kingsley
",24 février 2010,Shutter Island,"
                3,8",Martin Scorsese,"
                4,3"
7,"
                Avec
                                                                                                                                        François Cluzet,
                                                                                                                        Marion Cotillard,
                                                                                                                        Benoît Magimel
",20 octobre 2010,Les petits mouchoirs,"
                2,9",Guillaume Canet,"
                3,6"
8,"
                Avec
                                                                                                                                        Srdjan Todorovic,
                                                                                                                        Sergej Trifunovic,
                                                                                                                        Jelena Gavrilovic
",2 février 2012,A Serbian Film,"
                0",Srdjan Spasojevic,"
                2,1"
9,"
                Avec
                                                                                                                                        Vincent Elbaz,
                                                                                                                        Gregori Derangère,
                                                                                                                        Mélanie Bernier
",9 mars 2011,L'Assaut,"
                2,8",Julien Leclercq,"
                3,6"
10,"
                Avec
                                                                                                                                        Benoît Poelvoorde,
                                                                                                                        Dany Boon,
                                                                                                                        Julie Bernard
",2 février 2011,Rien à déclarer,"
                2,2",Dany Boon,"
                2,5"
11,"
                Avec
                                                                                                                                        Mario Casas,
                                                                                                                        María Valverde,
                                                                                                                        Álvaro Cervantes
",21 août 2013,3 mètres au-dessus du ciel - Twilight Love,"
                0",Fernando González Molina,"
                4,2"
12,"
                Avec
                                                                                                                                        Natalie Portman,
                                                                                                                        Mila Kunis,
                                                                                                                        Vincent Cassel
",9 février 2011,Black Swan,"
                4,1",Darren Aronofsky,"
                4,1"
13,"
                Avec
                                                                                                                                        Johnny Depp,
                                                                                                                        Mia Wasikowska,
                                                                                                                        Matt Lucas
",24 mars 2010,Alice au Pays des Merveilles,"
                3,5",Tim Burton,"
                3,3"
14,"
                Avec
                                                                                                                                        Colin Firth,
                                                                                                                        Helena Bonham Carter,
                                                                                                                        Derek Jacobi
",2 février 2011,Le Discours d'un roi,"
                4,0",Tom Hooper,"
                4,3"
15,"
                Avec
                                                                                                                                        Patrick Wilson,
                                                                                                                        Rose Byrne,
                                                                                                                        Ty Simpkins
",15 juin 2011,Insidious,"
                3,2",James Wan,"
                3,5"
16,"
                Avec
                                                                                                                                        Jesse Eisenberg,
                                                                                                                        Justin Timberlake,
                                                                                                                        Andrew Garfield
",13 octobre 2010,The Social Network,"
                4,4",David Fincher,"
                4,0"
17,"
                Avec
                                                                                                                                        Romain Duris,
                                                                                                                        Vanessa Paradis,
                                                                                                                        Julie Ferrier
",17 mars 2010,L'Arnacoeur,"
                4,0",Pascal Chaumeil,"
                3,9"
18,"
                Avec
                                                                                                                                        Jean Reno,
                                                                                                                        Kad Merad,
                                                                                                                        Marina Foïs
",24 mars 2010,L'Immortel,"
                2,4",Richard Berry,"
                3,4"
19,"
                Avec
                                                                                                                                        Ryan Reynolds,
                                                                                                                        Erik Palladino,
                                                                                                                        Robert Paterson
",3 novembre 2010,Buried,"
                3,6",Rodrigo Cortés,"
                3,3"
20,"
                Avec
                                                                                                                                        Jacques Gamblin,
                                                                                                                        Sara Forestier,
                                                                                                                        Zinedine Soualem
",24 novembre 2010,Le Nom des gens,"
                3,7",Michel Leclerc,"
                3,8"
21,"
                Avec
                                                                                                                                        James Franco,
                                                                                                                        Amber Tamblyn,
                                                                                                                        Kate Mara
",23 février 2011,127 heures,"
                3,2",Danny Boyle,"
                3,9"
22,"
                Avec
                                                                                                                                        Donald Reignoux,
                                                                                                                        Emmanuel Jacomy,
                                                                                                                        Florine Orphelin
",31 mars 2010,Dragons,"
                3,8",Chris Sanders,"
                4,4"
