actors;;;date;movie;press_rating;producer;spectators_rating
0,Franck Dubosc ; Alexandra Lamy ; Elsa Zylberstein ;14-mars-18;Tout le monde debout;3,6;Franck Dubosc;4,3
1,John Boyega ; Scott Eastwood ; Cailee Spaeny ;21-mars-18;Pacific Rim Uprising;2,5;Steven S. DeKnight;3,1
2,Sally Hawkins ; Michael Shannon ; Richard Jenkins ;21 février 2018;La Forme de l'eau - The Shape of Water;4;Guillermo del Toro;3,8
3,Thierry Lhermitte ; Rayane Bensetti ; Émilie Caen ;21-mars-18;La Finale;3,4;Robin Sykes;3,9
4,Alicia Vikander ; Dominic West ; Walton Goggins ;14-mars-18;Tomb Raider;2,6;Roar Uthaug;3,7
5,Shaïn Boumedine ; Ophélie Bau ; Salim Kechiouche ;21-mars-18;Mektoub My Love : Canto Uno;4;Abdellatif Kechiche;3,5
6,Dany Boon ; Laurence Arné ; François Berléand ;28 février 2018;La Ch’tite famille;2,9;Dany Boon;3,4
7,Christian Bale ; Rosamund Pike ; Wes Studi ;14-mars-18;Hostiles;4;Scott Cooper;4,2
8,Anthony Bajon ; Damien Chapelle ; Alex Brendemühl ;21-mars-18;La Prière;3,7;Cédric Kahn;3,9
9,Chadwick Boseman ; Michael B. Jordan ; Lupita Nyong'o ;14 février 2018;Black Panther;3,1;Ryan Coogler;4,1
10,Franck Dubosc ; Alexandra Lamy ; Elsa Zylberstein ;14-mars-18;Tout le monde debout;3,6;Franck Dubosc;4,3
11,John Boyega ; Scott Eastwood ; Cailee Spaeny ;21-mars-18;Pacific Rim Uprising;2,5;Steven S. DeKnight;3,1
12,Sally Hawkins ; Michael Shannon ; Richard Jenkins ;21 février 2018;La Forme de l'eau - The Shape of Water;4;Guillermo del Toro;3,8
13,Thierry Lhermitte ; Rayane Bensetti ; Émilie Caen ;21-mars-18;La Finale;3,4;Robin Sykes;3,9
14,Alicia Vikander ; Dominic West ; Walton Goggins ;14-mars-18;Tomb Raider;2,6;Roar Uthaug;3,7
15,Shaïn Boumedine ; Ophélie Bau ; Salim Kechiouche ;21-mars-18;Mektoub My Love : Canto Uno;4;Abdellatif Kechiche;3,5
16,Dany Boon ; Laurence Arné ; François Berléand ;28 février 2018;La Ch’tite famille;2,9;Dany Boon;3,4
17,Christian Bale ; Rosamund Pike ; Wes Studi ;14-mars-18;Hostiles;4;Scott Cooper;4,2
18,Anthony Bajon ; Damien Chapelle ; Alex Brendemühl ;21-mars-18;La Prière;3,7;Cédric Kahn;3,9
19,Chadwick Boseman ; Michael B. Jordan ; Lupita Nyong'o ;14 février 2018;Black Panther;3,1;Ryan Coogler;4,1
20,Franck Dubosc ; Alexandra Lamy ; Elsa Zylberstein ;14-mars-18;Tout le monde debout;3,6;Franck Dubosc;4,3
21,John Boyega ; Scott Eastwood ; Cailee Spaeny ;21-mars-18;Pacific Rim Uprising;2,5;Steven S. DeKnight;3,1
22,Sally Hawkins ; Michael Shannon ; Richard Jenkins ;21 février 2018;La Forme de l'eau - The Shape of Water;4;Guillermo del Toro;3,8
23,Thierry Lhermitte ; Rayane Bensetti ; Émilie Caen ;21-mars-18;La Finale;3,4;Robin Sykes;3,9
24,Alicia Vikander ; Dominic West ; Walton Goggins ;14-mars-18;Tomb Raider;2,6;Roar Uthaug;3,7
25,Shaïn Boumedine ; Ophélie Bau ; Salim Kechiouche ;21-mars-18;Mektoub My Love : Canto Uno;4;Abdellatif Kechiche;3,5
26,Dany Boon ; Laurence Arné ; François Berléand ;28 février 2018;La Ch’tite famille;2,9;Dany Boon;3,4
27,Christian Bale ; Rosamund Pike ; Wes Studi ;14-mars-18;Hostiles;4;Scott Cooper;4,2
28,Anthony Bajon ; Damien Chapelle ; Alex Brendemühl ;21-mars-18;La Prière;3,7;Cédric Kahn;3,9
29,Chadwick Boseman ; Michael B. Jordan ; Lupita Nyong'o ;14 février 2018;Black Panther;3,1;Ryan Coogler;4,1
30,Franck Dubosc ; Alexandra Lamy ; Elsa Zylberstein ;14-mars-18;Tout le monde debout;3,6;Franck Dubosc;4,3
31,John Boyega ; Scott Eastwood ; Cailee Spaeny ;21-mars-18;Pacific Rim Uprising;2,5;Steven S. DeKnight;3,1
32,Sally Hawkins ; Michael Shannon ; Richard Jenkins ;21 février 2018;La Forme de l'eau - The Shape of Water;4;Guillermo del Toro;3,8
33,Thierry Lhermitte ; Rayane Bensetti ; Émilie Caen ;21-mars-18;La Finale;3,4;Robin Sykes;3,9
34,Alicia Vikander ; Dominic West ; Walton Goggins ;14-mars-18;Tomb Raider;2,6;Roar Uthaug;3,7
35,Shaïn Boumedine ; Ophélie Bau ; Salim Kechiouche ;21-mars-18;Mektoub My Love : Canto Uno;4;Abdellatif Kechiche;3,5
36,Dany Boon ; Laurence Arné ; François Berléand ;28 février 2018;La Ch’tite famille;2,9;Dany Boon;3,4
37,Christian Bale ; Rosamund Pike ; Wes Studi ;14-mars-18;Hostiles;4;Scott Cooper;4,2
38,Anthony Bajon ; Damien Chapelle ; Alex Brendemühl ;21-mars-18;La Prière;3,7;Cédric Kahn;3,9
39,Chadwick Boseman ; Michael B. Jordan ; Lupita Nyong'o ;14 février 2018;Black Panther;3,1;Ryan Coogler;4,1
40,Franck Dubosc ; Alexandra Lamy ; Elsa Zylberstein ;14-mars-18;Tout le monde debout;3,6;Franck Dubosc;4,3
41,John Boyega ; Scott Eastwood ; Cailee Spaeny ;21-mars-18;Pacific Rim Uprising;2,5;Steven S. DeKnight;3,1
42,Sally Hawkins ; Michael Shannon ; Richard Jenkins ;21 février 2018;La Forme de l'eau - The Shape of Water;4;Guillermo del Toro;3,8
43,Thierry Lhermitte ; Rayane Bensetti ; Émilie Caen ;21-mars-18;La Finale;3,4;Robin Sykes;3,9
44,Alicia Vikander ; Dominic West ; Walton Goggins ;14-mars-18;Tomb Raider;2,6;Roar Uthaug;3,7
45,Shaïn Boumedine ; Ophélie Bau ; Salim Kechiouche ;21-mars-18;Mektoub My Love : Canto Uno;4;Abdellatif Kechiche;3,5
46,Dany Boon ; Laurence Arné ; François Berléand ;28 février 2018;La Ch’tite famille;2,9;Dany Boon;3,4
47,Christian Bale ; Rosamund Pike ; Wes Studi ;14-mars-18;Hostiles;4;Scott Cooper;4,2
48,Anthony Bajon ; Damien Chapelle ; Alex Brendemühl ;21-mars-18;La Prière;3,7;Cédric Kahn;3,9
49,Chadwick Boseman ; Michael B. Jordan ; Lupita Nyong'o ;14 février 2018;Black Panther;3,1;Ryan Coogler;4,1
50,Franck Dubosc ; Alexandra Lamy ; Elsa Zylberstein ;14-mars-18;Tout le monde debout;3,6;Franck Dubosc;4,3
51,John Boyega ; Scott Eastwood ; Cailee Spaeny ;21-mars-18;Pacific Rim Uprising;2,5;Steven S. DeKnight;3,1
52,Sally Hawkins ; Michael Shannon ; Richard Jenkins ;21 février 2018;La Forme de l'eau - The Shape of Water;4;Guillermo del Toro;3,8
53,Thierry Lhermitte ; Rayane Bensetti ; Émilie Caen ;21-mars-18;La Finale;3,4;Robin Sykes;3,9
54,Alicia Vikander ; Dominic West ; Walton Goggins ;14-mars-18;Tomb Raider;2,6;Roar Uthaug;3,7
55,Shaïn Boumedine ; Ophélie Bau ; Salim Kechiouche ;21-mars-18;Mektoub My Love : Canto Uno;4;Abdellatif Kechiche;3,5
56,Dany Boon ; Laurence Arné ; François Berléand ;28 février 2018;La Ch’tite famille;2,9;Dany Boon;3,4
57,Christian Bale ; Rosamund Pike ; Wes Studi ;14-mars-18;Hostiles;4;Scott Cooper;4,2
58,Anthony Bajon ; Damien Chapelle ; Alex Brendemühl ;21-mars-18;La Prière;3,7;Cédric Kahn;3,9
59,Chadwick Boseman ; Michael B. Jordan ; Lupita Nyong'o ;14 février 2018;Black Panther;3,1;Ryan Coogler;4,1
60,Franck Dubosc ; Alexandra Lamy ; Elsa Zylberstein ;14-mars-18;Tout le monde debout;3,6;Franck Dubosc;4,3
