,actors,date,movie,press_rating,producer,spectators_rating
0,Anton Walbrook ; Moira Shearer ; Marius Goring ; ,10 juin 1949,Les Chaussons rouges,5.0,Michael Powell ; Emeric Pressburger ; ,4.2
1,Dustin Hoffman ; Robert Redford ; Jack Warden ; ,22 septembre 1976,Les Hommes du Président,,Alan J. Pakula ; ,3.8
2,Ricardo Darín ; Gaston Pauls ; Leticia Bredice ; ,4 septembre 2002,Les Neuf Reines,3.8,Fabián Bielinsky ; ,3.7
3,Didier Bourdon ; Bernard Campan ; Pascal Légitimus ; ,12 décembre 2001,Les rois mages,2.8,Didier Bourdon ; Bernard Campan ; ,2.1
4,Elena Anaya ; ,27 janvier 2016,Les Saisons,3.7,Jacques Perrin ; Jacques Cluzaud ; ,3.8
5,Stéphane Audran ; Jean-Pierre Bacri ; Jean-Luc Bideau ; ,10 février 1988,Les Saisons du plaisir,,Jean-Pierre Mocky ; ,2.6
6,Julianne Moore ; Dennis Quaid ; Dennis Haysbert ; ,12 mars 2003,Loin du paradis,4.4,Todd Haynes ; ,3.6
7,Anton Glanzelius ; Manfred Serner ; Anki Lidén ; ,13 janvier 1988,Ma vie de chien,,Lasse Hallström ; ,3.6
8,Gerard Butler ; Michelle Monaghan ; Michael Shannon ; ,2 janvier 2013,Machine Gun,,Marc Forster ; ,3.8
9,Josiane Balasko ; Mathilde Seigner ; Marina Foïs ; ,9 mai 2012,Maman,2.6,Alexandra Leclère ; ,2.5
10,Julianne Moore ; Dominic West ; Gary Sinise ; ,1 décembre 2004,Mémoire effacée,2.7,Joseph Ruben ; ,2.2
11,Michael Nyqvist ; Noomi Rapace ; Lena Endre ; ,28 juillet 2010,Millénium 3 - La Reine dans le palais des courants d'air,3.1,Daniel Alfredson ; ,3.8
12,Ice Cube ; Kevin Hart ; John Leguizamo ; ,14 mai 2014,Mise à l'épreuve,1.8,Tim Story ; Tracy E. Thomas ; ,3.2
13,Edouard Baer ; Benoît Magimel ; Atmen Kélif ; ,1 décembre 2010,Mon pote,2.4,Marc Esposito ; ,3.5
14,Rumer Willis ; Deano Clavet ; Stéphanie Biddle ; ,10 mai 2000,Mon voisin le tueur,2.7,Jonathan Lynn ; ,2.8
15,Rémi Gaillard ; Nicole Ferroni ; Alban Ivanov ; ,5 mars 2014,N'importe qui,2.5,Raphaël Frydman ; ,2.0
16,Sophie Marceau ; Monica Bellucci ; Brigitte Catillon ; ,3 juin 2009,Ne te retourne pas,2.5,Marina De Van ; ,2.0
17,Michael Jai White ; Alex Meraz ; Dean Geyer ; ,21 septembre 2011,Never Back Down 2,,Michael Jai White ; ,3.1
18,Madeleine Barbulée ; Danièle Delorme ; Frederic Duvalles ; ,19 février 2003,Ni vu ni connu,,Yves Robert ; ,3.9
19,Christopher Walken ; Isabella Rossellini ; Vincent Gallo ; ,27 novembre 1996,Nos funérailles,,Abel Ferrara ; ,3.3
20,Barbra Streisand ; Robert Redford ; Bradford Dillman ; ,/,Nos plus belles années,,Sydney Pollack ; ,3.7
21,Gina Lollobrigida ; Anthony Quinn ; Jean Danet ; ,19 décembre 1956,Notre-Dame de Paris,,Jean Delannoy ; ,3.0
22,Denzel Washington ; Eva Mendes ; Dean Cain ; ,28 janvier 2004,Out of Time,2.8,Carl Franklin ; ,2.6
23,Emma Roberts ; Jake T. Austin ; Lisa Kudrow ; ,18 février 2009,Palace pour chiens,2.0,Thor Freudenthal ; ,2.9
24,Emma Roberts ; Jack Kilmer ; James Franco ; ,11 juin 2014,Palo Alto,3.4,Gia Coppola ; ,3.3
25,Zac Efron ; Marcia Gay Harden ; Paul Giamatti ; ,2 octobre 2013,Parkland,3.1,Peter Landesman ; ,3.1
26,José Garcia ; Vincent Cassel ; Sergio Peris-Mencheta ; ,10 octobre 2007,Sa Majesté Minor,2.1,Jean-Jacques Annaud ; ,1.4
27,Gina Lollobrigida ; George Sanders ; Yul Brynner ; ,21 décembre 2003,Salomon et la reine de Saba,,King Vidor ; ,3.6
28,Sandrine Bonnaire ; Macha Méril ; Stéphane Freiss ; ,4 décembre 1985,Sans toit ni loi,,Agnès Varda ; ,3.7
29,Fred Testot ; Antoine Duléry ; Julie Ferrier ; ,9 mai 2012,"Sea, No Sex and Sun",2.2,Christophe Turpin ; ,2.0
30,Hailee Steinfeld ; Jessica Alba ; Samuel L. Jackson ; ,27 juillet 2015,Secret Agency,,Kyle Newman ; ,2.6
31,Ray Winstone ; Ben Kingsley ; Amanda Redman ; ,17 janvier 2001,Sexy Beast,3.3,Jonathan Glazer ; ,3.2
32,Ally Sheedy ; Steve Guttenberg ; Fisher Stevens ; ,23 mars 2004,Short Circuit,,John Badham ; ,3.3
33,Dale Midkiff ; Fred Gwynne ; Denise Crosby ; ,17 janvier 1990,Simetierre,,Mary Lambert ; ,2.9
34,Romy Schneider ; Karlheinz Böhm ; Magda Schneider ; ,7 novembre 2002,Sissi,1.0,Ernst Marischka ; ,3.3
35,Lance Guest ; Catherine Mary Stewart ; Barbara Bosson ; ,18 août 2009,Starfighter,,Nick Castle ; ,3.4
36,Jennifer Lopez ; Vincent D'Onofrio ; Vince Vaughn ; ,18 octobre 2000,The Cell,3.0,Tarsem Singh ; ,2.2
