,actors,date,genres,movie,press_rating,producers,spectators_rating
0,Jacques Dutronc ; Erwan Baynaud ; Sotigui Kouyate ; ,20 décembre 1995,Comédie dramatique ; ,Le maître des éléphants,,Patrick Grandperret ; ,2.5
1,Christopher Lee ; Joan Collins ; Robert Hardy ; ,31 octobre 1979,Epouvante-horreur ; ,Le Manoir des fantasmes,,Don Sharp ; ,2.8
2,Bruno Renne ; Volker Lechtenbrink ; Ilja Richter ; ,9 février 2011,Animation ; ,Le Marchand de Sable,3.3,Sinem Sakaoğlu ; Jesper Møller ; Helmut Fischer ; ,3.4
3,Lisa Rinna ; Gail O'Grady ; Dale Midkiff ; ,/,Drame ; ,Le mari d'une autre,,Noel Nosseck ; ,2.9
4,Odette Joyeux ; Jacques Dumesnil ; Louis Seigner ; ,18 mars 2011,Comédie ; ,Le Mariage de Chiffon,,Claude Autant-Lara ; ,2.9
5,Jean-Pierre Bouyxou ; Bernard Charnace ; Marlène Delcambre ; ,/,Fantastique ; Epouvante-horreur ; ,Le Masque de la méduse,,Jean Rollin ; ,2.8
6,Barbara Steele ; Andrea Checchi ; John Richardson ; ,10 décembre 2001,Epouvante-horreur ; ,Le Masque du démon,,Mario Bava ; ,3.6
7,Jackie Chan ; Claire Forlani ; Lee Evans ; ,24 décembre 2003,Action ; Fantastique ; Policier ; ,Le Médaillon,2.3,Gordon Chan ; ,1.8
8,O.E. Hasse ; Eva Bartok ; Hannes Messemer ; ,11 juillet 2017,Drame ; Guerre ; ,Le Médecin de Stalingrad,,Geza von Radvanyi ; ,3.0
9,Malcolm McDowell ; Ralph Richardson ; Rachel Roberts ; ,18 mars 2017,Drame ; Musical ; Comédie ; ,Le Meilleur des mondes possibles,,Lindsay Anderson ; ,3.7
10,Richard Carlson ; Barbara Rush ; Charles Drake ; ,16 décembre 1953,Fantastique ; ,Le Météore de la nuit,,Jack Arnold ; ,3.0
11,Laurent Lucas ; Aurélien Recoing ; Audrey Dana ; ,23 octobre 2013,Drame ; ,Le Métis de dieu (TV),,Ilan Duran Cohen ; ,3.6
12,Sergio Castellitto ; Donatella Finocchiaro ; Sami Frey ; ,22 août 2007,Drame ; ,Le Metteur en scène de mariages,3.3,Marco Bellocchio ; ,2.8
13,Roma Downey ; Eric McCormack ; Shawn Thompson ; ,/,Drame ; Romance ; ,Le Miracle de Noël (TV),,Ted Kotcheff ; ,3.1
14,Edmund Gwenn ; Maureen O'Hara ; Natalie Wood ; ,7 novembre 2001,Comédie ; Drame ; Famille ; ,Le Miracle sur la 34ème rue,,George Seaton ; ,3.6
15,Anne Matalon ; ,22 octobre 2014,Documentaire ; ,Le Moment et La Manière,3.5,Anne Kunvari ; ,3.1
16,Solweig Rediger-Lizlow ; Rossy de Palma ; Stéphan Guérin-Tillié ; ,/,Drame ; ,Le monde à ses pieds,,Christian Faure ; ,3.7
17,Jacques-Yves Cousteau ; Albert Falco ; François Saout ; ,15 février 1956,Documentaire ; ,Le Monde du silence,,Louis Malle ; Jacques-Yves Cousteau ; ,3.0
18,Jill Saint-John ; Michael Rennie ; Jill St John ; ,18 novembre 2014,Aventure ; Drame ; Science fiction ; ,Le Monde Perdu,,Irwin Allen ; ,2.6
19,John P. Ryan ; Sharon Farrell ; Andrew Duggan ; ,20 octobre 2004,Epouvante-horreur ; Science fiction ; ,Le Monstre est vivant,,Larry Cohen ; ,2.8
20,Jean Rochefort ; Grace De Capitani ; Jean-Claude Brialy ; ,3 septembre 2003,Policier ; ,Le Moustachu,,Dominique Chaussois ; ,3.2
21,Thierry de Coster ; Edwige Baily ; Benoit Van Dorslaer ; ,9 février 2011,Animation ; ,Le Mulot menteur,3.0,Andrea Kiss ; Marina Rosset ; Rebecca Akoun ; ,3.3
22,Ralph Richardson ; Ann Todd ; Nigel Patrick ; ,10 octobre 1952,Drame ; Romance ; Guerre ; ,Le Mur du son,,David Lean ; ,3.0
23,Tramel ; Gaston Jacquet ; Jimmy Gaillard ; ,/,Comédie dramatique ; ,Le Mystère de la Tour Eiffel,,Julien Duvivier ; ,3.0
24,Jerôme Lenôtre ; Jean-Pierre Mocky ; Richard Bohringer ; ,/,Policier ; ,Le mystère des jonquilles,,Jean-Pierre Mocky ; ,2.9
25,Anita Ekberg ; Jean-Yves Thual ; Dyna Gauzy ; ,23 décembre 1998,Comédie dramatique ; Drame ; Comédie ; ,Le Nain rouge,2.8,Yvan Le Moine ; ,2.8
26,Deborah Kerr ; Sabu (II) ; David Farrar ; ,20 juillet 1949,Drame ; ,Le Narcisse noir,5.0,Michael Powell ; Emeric Pressburger ; ,4.0
27,Jon Voight ; Sam Neill ; Bruno Lawrence ; ,/,Drame ; Thriller ; ,Le Naufrage du Rainbow Warrior,,Michael Tuchner ; ,3.1
28,Shiri Appleby ; Hannah Marks ; Debby Ryan ; ,3 novembre 2015,Comédie ; Famille ; ,Le Noël où tout a changé,,Jim Fall ; ,3.6
29,Alicia Witt ; Donald Faison ; Christina Milian ; ,/,Drame ; Famille ; ,Le Noël rêvé de Megan,,Jodi Binstock ; ,3.1
30,Edward Furlong ; Chandra West ; Michael Madsen ; ,13 novembre 2007,Fantastique ; Thriller ; Epouvante-horreur ; ,Le Pacte,,Michael Bafaro ; ,2.5
31,Kim Raver ; Greg Grunberg ; Charlie McDermott ; ,/,Drame ; ,Le Pacte des non-dits,,Peter Werner ; ,3.3
32,Saïd Taghmaoui ; Fayçal Zghadi ; Bilel Lasini ; ,/,Drame ; ,Le Pain nu,,Rachid Benhadj ; ,3.0
33,Tom Hanks ; Tawny Kitaen ; Adrian Zmed ; ,6 mars 2002,Comédie ; Romance ; ,Le Palace en folie,,Neal Israel ; ,3.0
34,,31 mars 2007,Documentaire ; ,Le Papier ne peut pas envelopper la braise,4.6,Rithy Panh ; ,3.7
35,William Hurt ; Pascale Bussières ; Marc Donato ; ,7 avril 2010,Drame ; Aventure ; ,Le Papillon bleu,,Léa Pool ; ,2.6
36,Brittany Adams ; Rebecca Amzallag ; Tim Rozon ; ,/,Drame ; Thriller ; ,Le parfum de la vengeance,,Curtis Crawford ; ,3.1
37,Charles Aznavour ; Nicole Courcel ; Georges Rivière ; ,31 janvier 2012,Drame ; Guerre ; ,Le Passage du Rhin,,André Cayatte ; ,3.2
38,Winona Ryder ; Anne Bancroft ; Ellen Burstyn ; ,19 juin 1996,Comédie ; Drame ; Romance ; ,Le Patchwork de la vie,,Jocelyn Moorhouse ; ,3.1
39,Lillian Gish ; Robert Harron ; Clarine Seymour ; ,6 juin 2016,Comédie dramatique ; Romance ; ,Le Pauvre amour,,D.W. Griffith ; ,3.2
40,Françoise Arnoul ; Gilbert Bécaud ; Gaby Basset ; ,19 octobre 1956,Comédie ; ,Le Pays d'où je viens,,Marcel Carné ; ,3.1
41,Jean-Claude Poulain ; Odile Ghermani ; Babette Deboissy ; ,3 mars 1993,Documentaire ; ,Le Pays des sourds,,Nicolas Philibert ; ,3.4
42,Fini Straubinger ; Heinrich Fleischmann ; M. Baaske ; ,/,Documentaire ; ,Le Pays du silence et de l'obscurité,,Werner Herzog ; ,3.3
43,Piotr Stanislas ; Jean-Pierre Armand ; Marianne Aubert ; ,/,Divers ; ,Le Pensionnat des petites salopes,,Pierre B. Reinhard ; ,3.0
