,actor,date,movie,press_rating,producer,spectators_rating
0,Rainn Wilson,1 décembre 2011,Super,,James Gunn (II),"3,5"
1,Jean-Paul Rouve,1 juillet 2011,Les Tuche,"2,3",Olivier Baroux,"2,6"
2,Leonardo DiCaprio,21 juillet 2010,Inception,"4,1",Christopher Nolan,"4,4"
3,Bruce Willis,17 novembre 2010,Red,"2,8",Robert Schwentke,"3,5"
4,François Cluzet,20 octobre 2010,Les petits mouchoirs,"2,9",Guillaume Canet,"3,6"
5,Sarah Jessica Parker,2 juin 2010,Sex and the City 2,"2,5",Michael Patrick King,"2,4"
6,Benoît Poelvoorde,2 février 2011,Rien à déclarer,"2,2",Dany Boon,"2,5"
7,Leonardo DiCaprio,24 février 2010,Shutter Island,"3,8",Martin Scorsese,"4,3"
8,Vincent Elbaz,9 mars 2011,L'Assaut,"2,8",Julien Leclercq,"3,6"
9,Rémy Girard,12 janvier 2011,Incendies,"3,8",Denis Villeneuve,"4,4"
10,Mario Casas,21 août 2013,3 mètres au-dessus du ciel - Twilight Love,,Fernando González Molina,"4,2"
11,Natalie Portman,9 février 2011,Black Swan,"4,1",Darren Aronofsky,"4,1"
12,Johnny Depp,24 mars 2010,Alice au Pays des Merveilles,"3,5",Tim Burton,"3,3"
13,Patrick Wilson,15 juin 2011,Insidious,"3,2",James Wan,"3,5"
14,Carey Mulligan,2 mars 2011,Never Let Me Go,"3,0",Mark Romanek,"3,5"
15,Jean Reno,24 mars 2010,L'Immortel,"2,4",Richard Berry,"3,4"
16,Colin Firth,2 février 2011,Le Discours d'un roi,"4,0",Tom Hooper,"4,3"
17,Romain Duris,17 mars 2010,L'Arnacoeur,"4,0",Pascal Chaumeil,"3,9"
18,Donald Reignoux,31 mars 2010,Dragons,"3,8",Chris Sanders,"4,4"
19,Ryan Reynolds,3 novembre 2010,Buried,"3,6",Rodrigo Cortés,"3,3"
20,Srdjan Todorovic,2 février 2012,A Serbian Film,,Srdjan Spasojevic,"2,1"
21,James Franco,23 février 2011,127 heures,"3,2",Danny Boyle,"3,9"
22,Adrien Brody,14 juillet 2010,Predators,"2,5",Nimrod Antal,"2,5"
23,Robert Pattinson,7 avril 2010,Remember Me,"2,4",Allen Coulter,"3,9"
24,Jesse Eisenberg,13 octobre 2010,The Social Network,"4,4",David Fincher,"4,0"
25,Vincent Claude,22 juin 2011,L'Elève Ducobu,"2,1",Philippe de Chauveron,"2,2"
26,Ben Affleck,15 septembre 2010,The Town,"3,5",Ben Affleck,"3,9"
27,Michael Gregorio,6 juillet 2011,Hop,"2,1",Tim Hill,"2,8"
28,Maeva Méline,1 décembre 2010,Raiponce,"3,8",Byron Howard,"4,3"
29,Daniel Radcliffe,24 novembre 2010,Harry Potter et les reliques de la mort - partie 1,"3,2",David Yates,"4,1"
30,Moises Arias,12 janvier 2011,Arrietty le petit monde des chapardeurs,"3,7",Hiromasa Yonebayashi,"4,1"
31,John Travolta,17 février 2010,From Paris With Love,"2,4",Pierre Morel,"2,5"
32,Jacques Gamblin,24 novembre 2010,Le Nom des gens,"3,7",Michel Leclerc,"3,8"
33,Ramzy Bedia,27 octobre 2010,Il reste du jambon ?,"1,8",Anne Depetrini,"1,9"
34,Valérie Donzelli,31 août 2011,La Guerre est déclarée,"4,4",Valérie Donzelli,"3,8"
35,Channing Tatum,31 mars 2010,Cher John,"3,5",Lasse Hallström,"3,6"
36,Sarah Butler,21 septembre 2011,I Spit on Your Grave,,Steven R. Monroe,"3,6"
